seasonType,year,attendance,dayNight,durationMinutes,awayTeamName,homeTeamName,venueName,venueCapacity,venueCity,venueZip
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
